Date,Value
2020-03-01,+65.3
2020-03-02,+65.1
2020-03-03,+64.5
2020-03-04,+64.8
2020-03-05,+64.7
2020-03-06,+65.0
2020-03-07,+65.2
2020-03-08,+64.5
2020-03-09,+65.1
2020-03-10,+65.4
2020-03-11,+64.2
2020-03-12,+64.9
2020-03-13,+65.0
2020-03-14,+65.4
2020-03-15,+65.5
2020-03-18,+64.7
2020-03-19,+65.7
2020-03-20,+65.0
2020-03-21,+64.7
2020-03-22,+64.4
2020-03-23,+65.0
2020-03-24,+65.5
2020-03-25,+65.0
2020-03-26,+64.4
2020-03-27,+64.1
2020-03-28,+64.3
2020-03-29,+64.2
2020-03-30,+64.0
2020-03-31,+64.1
